TS;Test;Model;Target Freq;Target mW;Target dBm;Info;mW;dBm;dif_mW;dif_dBm
1622896873000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896873000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896873000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896873000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896874000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896874000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896874000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896875000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896865000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896865000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896866000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896866000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896866000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896866000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896867000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896867000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896867000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896868000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896868000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896868000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896869000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896869000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896869000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896869000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896870000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896870000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896870000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896871000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896871000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896871000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896872000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896872000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
1622896872000000000;20210605_1622896857;Eachine_TX805;5865;25,0;13,98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0,0;0,0;-25,0;-13,98
